variant,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
sin_feedback,1010,167,99,92,68,7,115.6068561574591,199.6256411395622,166.59402496823074,95,0.925,0.8583783417882811,69810.0,0.21494749997509643,135.07005873688178,0.8108108108108109,101.03931679743079,1.0,312.21679892765655,0.1527777777777778,0.34305555555555556,0.9375,0.6645833333333333,0.9833333333333333,0.6555555555555556
sin_feedback,1011,154,118,110,36,8,163.39686455278354,183.26204612342366,133.6140861011611,82,0.7958333333333333,0.8641053648345042,51809.0,0.19408729998394847,105.01885989807361,1.0,76.81362699102388,0.9830508474576272,309.6988512446385,0.47761194029850745,0.36788194444444444,0.8744791666666667,0.7375,0.9890625,0.659375
sin_feedback,1012,146,118,110,28,8,139.87342646047088,154.41408752289712,107.17648447019403,73,0.9104166666666667,0.8628037727670701,39507.0,0.1638403999968432,80.65765576294497,0.9714285714285714,35.59630979663518,0.9767441860465116,267.51172802036166,0.6176470588235294,0.33489583333333334,0.9708333333333333,0.49375,0.9877604166666667,0.6585069444444445
sin_feedback,1013,155,108,101,47,7,129.60853134316108,186.4892030568585,135.6798559354984,81,0.9041666666666667,0.8615020853870884,53996.0,0.19883509998908266,90.97002417835043,1.0,92.73265142974718,1.0,317.1737218027772,0.27692307692307694,0.340625,0.9510416666666667,0.5583333333333333,0.9864583333333333,0.6576388888888889
sin_feedback,1014,165,104,98,61,6,100.28674688321858,169.09321737709908,133.6673772552788,81,0.93125,0.8638450507541237,55620.0,0.2010219999938272,96.36630359676569,0.8378378378378378,84.46266897798363,1.0,283.3392278744412,0.19117647058823528,0.34184027777777776,0.9520833333333333,0.5451388888888888,0.9888020833333333,0.6592013888888889
sin_feedback,1015,151,113,105,38,8,152.87369444122723,183.57095973064676,127.55929386260675,78,0.9,0.8695722242943605,47374.0,0.1959142999839969,99.81914854879504,1.0,50.92658814383294,1.0,305.20772920492914,0.4794520547945205,0.346875,0.9484375,0.4111111111111111,0.99453125,0.6630208333333333
sin_feedback,1016,181,101,93,80,8,105.18622562933191,202.14419734528462,148.2198392983906,103,0.86875,0.8620227964324204,62573.0,0.23818280000705272,98.49536394558899,0.8571428571428571,72.4252778488137,0.9838709677419355,341.0761280330292,0.11904761904761904,0.3472222222222222,0.9322916666666666,0.6,0.9869791666666666,0.6579861111111112
sin_feedback,1017,138,138,134,0,4,138.43448346538656,138.43448346538656,84.60045406237172,67,0.5770833333333333,0.8641105147704743,27912.0,0.13214399997377768,41.51392980404636,1.0,47.71101184074078,1.0,223.66335980020997,1.0,0.4092013888888889,0.71875,0.3090277777777778,0.9731770833333333,0.6487847222222223
sin_feedback,1018,154,120,112,34,8,136.99529653301033,158.99398489810713,112.68423375666481,70,0.8604166666666667,0.8628037458942607,42272.0,0.1760562999988906,75.02251358446046,1.0,67.64024387272391,1.0,249.74058277858154,0.5526315789473685,0.3463541666666667,0.9364583333333333,0.7854166666666667,0.9877604166666667,0.6585069444444445
sin_feedback,1019,177,104,98,73,6,118.07344059365535,216.55974418809066,157.30948039916768,104,0.8833333333333333,0.8698325580092726,65753.0,0.28102320001926273,103.94260616166649,1.0,95.70419821651541,1.0,347.4218101047807,0.13095238095238096,0.3567708333333333,0.9192708333333334,0.33194444444444443,0.9947916666666666,0.6631944444444444
